Country/ region,Agency,Budget (in millions of US $),Year,Reference
United States,National Aeronautics and Space Administration,23500,2022.0,[168][169]
China,China National Space Administration,11700,2021.0,[170]
Austria  Belgium  Czech Republic  Denmark  European Union  Finland  France  Germany  Greece  Ireland  Italy  Luxembourg  Netherlands  Norway  Poland  Portugal  Romania  Spain  Sweden  Switzerland  United Kingdom,European Space Agency,7430,2020.0,[171]
France,National Centre for Space Studies,3521,2022.0,[172]
Japan,Japan Aerospace Exploration Agency,2388,2022.0,[173]
Russia,Roscosmos,2011,2022.0,[174]
India,Indian Space Research Organisation,1831,2022.0,[175][176]
Italy,Italian Space Agency,1750,2020.0,[177]
Germany,German Aerospace Center,1424,2021.0,[178]
Spain,Agencia Espacial Española,739,2023.0,[179]
South Korea,Korea Aerospace Research Institute,701,2021.0,[180]
United Kingdom,UK Space Agency,604,2021.0,[181]
Canada,Canadian Space Agency,460,2019.0,[182]
Algeria,Algerian Space Agency,394,2020.0,[183]
Belgium,Interfederal Space Agency of Belgium,260,2020.0,[184]
Switzerland,Swiss Space Office,177,2019.0,[171]
Netherlands,Netherlands Space Office,150,2022.0,[185]
Sweden,Swedish National Space Agency,120,2022.0,[186]
Ukraine,State Space Agency of Ukraine,107,2022.0,[187]
Norway,Norwegian Space Agency,103,2019.0,[188]
Turkey,Turkish Space Agency,87,2023.0,[189]
Austria,Austrian Space Agency,75,2020.0,[190]
Brazil,Brazilian Space Agency,68,2022.0,[191]
Poland,Polish Space Agency,64,2020.0,[192]
Argentina,Comisión Nacional de Actividades Espaciales,63,2022.0,[193]
Indonesia,National Institute of Aeronautics and Space,54,2022.0,[194][195]
Pakistan,Space and Upper Atmosphere Research Commission,50,2019.0,[196][197]
Philippines,Philippine Space Agency,38,2019.0,[198]
Nigeria,National Space Research and Development Agency,36,2020.0,[199]
Australia,Australian Space Agency,35,2020.0,[200][201]
Israel,Israel Space Agency,17,2020.0,[202]
South Africa,South African National Space Agency,15,2020.0,[203]
Iran,"Iranian Space Agency, Iranian Space Research Center and Aerospace Research Institute",9,2020.0,[204]
Mexico,Mexican Space Agency,4,2022.0,[205]
Chile,Chilean Space Agency,1,2014.0,
World,All space agencies (Total of listed budgets),"About 62,000",,
